"","x"
"1881",5
"1882",12
"1883",0
"1884",-24
"1885",-49
"1886",-71
"1887",-88
"1888",-105
"1889",-110
"1890",-110
"1891",-117
"1892",-117
"1893",-117
"1894",-122
"1895",-127
"1896",-125
"1897",-120
"1898",-117
"1899",-120
"1900",-115
"1901",-115
"1902",-110
"1903",-112
"1904",-107
"1905",-105
"1906",-107
"1907",-107
"1908",-107
"1909",-112
"1910",-107
"1911",-110
"1912",-110
"1913",-105
"1914",-103
"1915",-107
"1916",-98
"1917",-95
"1918",-98
"1919",-85
"1920",-85
"1921",-88
"1922",-93
"1923",-93
"1924",-88
"1925",-88
"1926",-88
"1927",-88
"1928",-83
"1929",-78
"1930",-73
"1931",-71
"1932",-68
"1933",-56
"1934",-56
"1935",-56
"1936",-54
"1937",-49
"1938",-44
"1939",-42
"1940",-46
"1941",-46
"1942",-46
"1943",-49
"1944",-61
"1945",-54
"1946",-44
"1947",-39
"1948",-34
"1949",-32
"1950",-22
"1951",-29
"1952",-44
"1953",-46
"1954",-51
"1955",-49
"1956",-49
"1957",-54
"1958",-46
"1959",-44
"1960",-66
"1961",-166
"1962",-210
"1963",34
"1964",735
"1965",1255
"1966",903
"1967",305
"1968",88
"1969",12
"1970",-66
"1971",-95
"1972",-117
"1973",-127
"1974",-129
"1975",-132
"1976",-129
"1977",-127
"1978",-132
"1979",-134
"1980",-139
"1981",-139
"1982",-139
"1983",-146
"1984",-151
"1985",-154
"1986",-161
"1987",-166
"1988",-166
"1989",-166
"1990",-171
"1991",-171
"1992",-166
"1993",-166
"1994",-164
"1995",-159
"1996",-149
"1997",-139
"1998",-122
"1999",-115
"2000",-95
"2001",-76
"2002",-63
"2003",-49
"2004",-34
"2005",-20
"2006",-17
"2007",-29
"2008",-49
"2009",-66
"2010",-81
"2011",-90
"2012",-95
"2013",-100
"2014",-105
"2015",-103
"2016",-105
"2017",-105
"2018",-105
"2019",-110
"2020",-107
"2021",-115
"2022",-115
"2023",-115
"2024",-117
"2025",-115
"2026",-112
"2027",-115
"2028",-112
"2029",-117
"2030",-117
"2031",-120
"2032",-125
"2033",-125
"2034",-134
"2035",-139
"2036",-144
"2037",-149
"2038",-154
"2039",-154
"2040",-154
"2041",-161
"2042",-161
"2043",-159
"2044",-161
"2045",-159
"2046",-161
"2047",-151
"2048",-149
"2049",-154
"2050",-149
"2051",-154
"2052",-156
"2053",-159
"2054",-154
"2055",-151
"2056",-154
"2057",-151
"2058",-149
"2059",-154
"2060",-151
"2061",-149
"2062",-146
"2063",-149
"2064",-151
"2065",-146
"2066",-151
"2067",-154
"2068",-156
"2069",-161
"2070",-161
"2071",-168
"2072",-168
"2073",-168
"2074",-166
"2075",-151
"2076",-144
"2077",-142
"2078",-144
"2079",-144
"2080",-139
"2081",-142
"2082",-137
"2083",-137
"2084",-139
"2085",-139
"2086",-134
"2087",-134
"2088",-132
"2089",-164
"2090",-266
"2091",-288
"2092",59
"2093",796
"2094",1221
"2095",769
"2096",171
"2097",-7
"2098",-85
"2099",-154
"2100",-173
"2101",-188
"2102",-183
"2103",-183
"2104",-183
"2105",-173
"2106",-171
"2107",-171
"2108",-168
"2109",-171
"2110",-176
"2111",-178
"2112",-178
"2113",-176
"2114",-171
"2115",-176
"2116",-178
"2117",-181
"2118",-178
"2119",-186
"2120",-181
"2121",-178
"2122",-181
"2123",-171
"2124",-166
"2125",-161
"2126",-146
"2127",-142
"2128",-127
"2129",-110
"2130",-103
"2131",-88
"2132",-71
"2133",-56
"2134",-42
"2135",-39
"2136",-51
"2137",-63
"2138",-66
"2139",-81
"2140",-93
"2141",-100
"2142",-105
"2143",-105
"2144",-110
"2145",-107
"2146",-112
"2147",-117
"2148",-117
"2149",-120
"2150",-122
"2151",-127
"2152",-125
"2153",-127
"2154",-127
"2155",-122
"2156",-122
"2157",-122
"2158",-117
"2159",-115
"2160",-115
"2161",-115
"2162",-110
"2163",-117
"2164",-122
"2165",-122
"2166",-127
"2167",-127
"2168",-132
"2169",-129
"2170",-132
"2171",-129
"2172",-139
"2173",-144
"2174",-139
"2175",-149
"2176",-142
"2177",-146
"2178",-146
"2179",-146
"2180",-151
"2181",-151
"2182",-151
"2183",-154
"2184",-156
"2185",-154
"2186",-156
"2187",-154
"2188",-149
"2189",-149
"2190",-146
"2191",-149
"2192",-151
"2193",-149
"2194",-151
"2195",-154
"2196",-159
"2197",-159
"2198",-161
"2199",-161
"2200",-154
"2201",-154
"2202",-159
"2203",-156
"2204",-161
"2205",-154
"2206",-154
"2207",-161
"2208",-164
"2209",-171
"2210",-176
"2211",-176
"2212",-176
"2213",-166
"2214",-156
"2215",-149
"2216",-144
"2217",-146
"2218",-146
"2219",-149
"2220",-146
"2221",-151
"2222",-149
"2223",-144
"2224",-149
"2225",-151
"2226",-146
"2227",-161
"2228",-256
"2229",-305
"2230",-76
"2231",586
"2232",1184
"2233",891
"2234",247
"2235",15
"2236",-63
"2237",-137
"2238",-166
"2239",-176
"2240",-183
"2241",-186
"2242",-181
"2243",-176
"2244",-171
"2245",-173
"2246",-178
"2247",-178
"2248",-181
"2249",-183
"2250",-183
"2251",-181
"2252",-183
"2253",-183
"2254",-190
"2255",-195
"2256",-193
"2257",-193
"2258",-193
"2259",-193
"2260",-200
"2261",-200
"2262",-198
"2263",-188
"2264",-183
"2265",-171
"2266",-156
"2267",-144
"2268",-125
"2269",-100
"2270",-85
"2271",-68
"2272",-61
"2273",-54
"2274",-56
"2275",-66
"2276",-78
"2277",-88
